Trending,Trending
Exclusive,Exclusive
Featured,Featured
"Custom Amount","Custom Amount"
"Minimum donations should be more than 0","Minimum donations should be more than 0"
"Please specify a donation amount.","Please specify a donation amount."
"Minimum accepted donation is %1","Minimum accepted donation is %1"
success,success
"Invalid customer.","Invalid customer."
"No Address found","No Address found"
"Invalid Customer Id","Invalid Customer Id"
"Customer address deleted successfully","Customer address deleted successfully"
"Customer address created successfully","Customer address created successfully"
"Invalid Customer ID","Invalid Customer ID"
"Invalid address.","Invalid address."
"Customer address updated successfully","Customer address updated successfully"
"Invalid Address ID","Invalid Address ID"
"Item has been added successfully to your cart.","Item has been added successfully to your cart."
"Please update the App, New version available in Playstore","Please update the App, New version available in Playstore"
"Mandatory parameters are missing.","Mandatory parameters are missing."
"Customer does not exist.","Customer does not exist."
"Invalid request data.","Invalid request data."
"Product does not exist.","Product does not exist."
"Product is out of stock.","Product is out of stock."
Success,Success
"Your cart item has been updated.","Your cart item has been updated."
"Customer does not exist!","Customer does not exist!"
"Invalid item update request.","Invalid item update request."
"Your cart item has been removed.","Your cart item has been removed."
"Customer cart does not exist.","Customer cart does not exist."
"Cart item does not exist.","Cart item does not exist."
"Operation do not allow to move a parent category to any of children category","Operation do not allow to move a parent category to any of children category"
"Could not move category","Could not move category"
"Shipping address is not set","Shipping address is not set"
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Carrier with such method not found: %1, %2","Carrier with such method not found: %1, %2"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
"Requested product doesn't exist","Requested product doesn't exist"
"Your request has been received.","Your request has been received."
"Requested country is not available.","Requested country is not available."
"No confirmation needed.","No confirmation needed."
"Account already active","Account already active"
"Invalid confirmation token","Invalid confirmation token"
"Invalid login or password.","Invalid login or password."
"The account is locked.","The account is locked."
"This account is not confirmed.","This account is not confirmed."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","Please enter a password with at most %1 characters."
"Please enter a password with at least %1 characters.","Please enter a password with at least %1 characters."
"The password can't begin or end with a space.","The password can't begin or end with a space."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters."
"This customer already exists in this store.","This customer already exists in this store."
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"The password doesn't match this account.","The password doesn't match this account."
"Invalid value of ""%value"" provided for the %fieldName field.","Invalid value of ""%value"" provided for the %fieldName field."
"%fieldName is a required field.","%fieldName is a required field."
"Reset password token mismatch.","Reset password token mismatch."
"Reset password token expired.","Reset password token expired."
"Please correct the transactional account email type.","Please correct the transactional account email type."
"This customer has no tokens.","This customer has no tokens."
"The tokens could not be revoked.","The tokens could not be revoked."
"Please enter a valid password reset token.","Please enter a valid password reset token."
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","No such entity with %fieldName = %fieldValue, %field2Name = %field2Value"
"Please enter a customer email.","Please enter a customer email."
"A customer website ID must be specified when using the website scope.","A customer website ID must be specified when using the website scope."
"Invalid request.","Invalid request."
"Invalid parameters!","Invalid parameters!"
"Order does not exist!","Order does not exist!"
N/A,N/A
No,No
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"Price - High to Low","Price - High to Low"
"Price - Low to High","Price - Low to High"
Relevance,Relevance
"Your cart is empty.","Your cart is empty."
"Error with billing address.","Error with billing address."
"Error with shipping address.","Error with shipping address."
"At present we deliver only in Qatar, please select a valid address","At present we deliver only in Qatar, please select a valid address"
"Cart does not exist!","Cart does not exist!"
"Cart does not contain products!","Cart does not contain products!"
"Could not apply coupon code.","Could not apply coupon code."
"Coupon code is not valid.","Coupon code is not valid."
"Could not delete coupon code.","Could not delete coupon code."
"%1 were applied.","%1 were applied."
"Reward Points Applied Successfully","Reward Points Applied Successfully"
"Minimum number is %1.","Minimum number is %1."
"%1 were cancelled.","%1 were cancelled."
"Reward Points Removed Successfully","Reward Points Removed Successfully"
"Cannot apply %1.","Cannot apply %1."
"Donation has been removed!","Donation has been removed!"
"Thank you for your donation!","Thank you for your donation!"
"The quote can't be created.","The quote can't be created."
"The customer can't be assigned to the cart. The cart belongs to a different store.","The customer can't be assigned to the cart. The cart belongs to a different store."
"The customer can't be assigned to the cart because the cart isn't anonymous.","The customer can't be assigned to the cart because the cart isn't anonymous."
"The customer can't be assigned to the cart because the customer already has an active cart.","The customer can't be assigned to the cart because the customer already has an active cart."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"Invalid search term!","Invalid search term!"
"No match found!","No match found!"
"Search result found.","Search result found."
"Missing parameter!","Missing parameter!"
"Invalid product!","Invalid product!"
"Error with wishlist!","Error with wishlist!"
"Invalid wishlist item!","Invalid wishlist item!"
"Invalid wishlist!","Invalid wishlist!"
Error!,Error!
