N/A,N/A
No,No
"Shopping Cart","Shopping Cart"
items,items
item,item
"Product Name (A – Z)","Product Name (A – Z)"
"Product Name (Z – A)","Product Name (Z – A)"
"Price (Low – High)","Price (Low – High)"
"Price (High – Low)","Price (High – Low)"
"App Settings","App Settings"
"Category Square Image","Category Square Image"
"Common Square Image","Common Square Image"
Cateogry,Cateogry
"Offer Category ID","Offer Category ID"
"Offer Category","Offer Category"
"Brand Logo","Brand Logo"
"App Banner","App Banner"
