"Expired","انتهت"
"Active","نشطه"
"Points are expired","انتهت صلاحية النقاط"
"Will expire %1","ستنتهي %1"
"Will be ready for use %1","سيكون جاهزاً للاستخدام %1"
"Page not found.","لم يتم العثور على الصفحة."
"Something went wrong while saving your subscription.","حدث خطأ ما أثناء حفظ اشتراكك."
"We subscribed you on expiring points notification.","لقد اشتركنا لك على الإخطار نقاط منتهية الصلاحية."
"We removed your subscription on expiring points notification.","لقد قمنا بإزالة اشتراكك على إشعار النقاط المنتهية."
"Invalid form key. Try again","مفتاح نموذج غير صالح. حاول مرة أخرى"
"Customer with email %1 has been already invited to our store","تمت دعوة العميل الذي لديه بريد إلكتروني %1 بالفعل إلى متجرنا"
"Your invitations were sent. Thanks!","تم إرسال دعواتكم. شكرا "
"To unsubscribe from points expiring notification click %1","لإلغاء الاشتراك من إشعارات النقاط المنتهية انقر فوق %1"
"Transactions History","محفوظات الحركات"
"ID","معرف"
"Comment","التعليق"
"Points","نقاط"
"Created","انشاء"
"Status Description","وصف الحالة"
"There are no Transactions.","لا توجد معاملات."
"Points Summary","ملخص النقاط"
"You have <b>%1</b> in your account.","لديك <b>%1</b> في حسابك."
"How to earn points","كيفية كسب النقاط"
"Spend points and receive discounts","إنفاق النقاط والحصول على خصومات"
"Pending Transactions","المعاملات المعلقة"
"Order","الطلب"
"You have invited %1 friends","لقد قمت بدعوة %1 من الأصدقاء"
"Send Invitations","إرسال دعوات"
"Enter contacts of your friends to invite them.","أدخل جهات اتصال أصدقائك لدعوتهم."
"Name","الاسم"
"Email","البريد الإلكتروني"
"Message","رساله"
"Referrals","الاحالات"
"Status","حاله"
"Anonymous visitor","زائر مجهول"
"There are no Referrals","لا توجد إحالات"
"Share the referral link in the social media and get points!","مشاركة رابط الإحالة في وسائل التواصل الاجتماعي والحصول على نقاط!"
"Share the referral link in the social media","مشاركة رابط الإحالة في وسائل التواصل الاجتماعي"
"Check this out!","تحقق من هذا!"
"Tweet on Twitter","تغريدة على تويتر"
"Or you may send this link in your messages to anyone","أو يمكنك إرسال هذا الرابط في رسائلك إلى أي شخص"
"You may send this link in your messages to anyone","يمكنك إرسال هذا الرابط في رسائلك إلى أي شخص"
"Your points balance will expire in %1 days.","ستنتهي صلاحية رصيد النقاط في %1 يوم."
"Visit My Reward Points Section","زيارة قسم نقاط المكافأة"
"Your current tier is <a href=""#"" class=""open-popup""><b>%1</b></a>","المستوى الحالي هو <a href=""#"" class=""open-popup""><b>%1</b></a>"
"Earn <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","كسب <b>%1</b> للوصول إلى  <a class=""open-popup""><b>%2</b></a>"
"Spend <b>%1</b> to get to <a class=""open-popup""><b>%2</b></a>","قضاء <b>%1</b> للوصول إلى <a class=""open-popup""><b>%2</b></a>"
"Subscription to Points Expiration Notification","الاشتراك في إشعار انتهاء صلاحية النقاط"
"Your Transactions","معاملاتك"
"My Reward Points","نقاط المكافأة الخاصة بي"
"My Points","نقاطي"
"Share & Save","شارك واحفظ"
"My Referrals","إحالاتي"
"History","التاريخ"
